Observation,Slice#,Num Data,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std,EWI,EWI Std,Normal EWI,Normal EWI Std,EWC,EWC Std,Normal EWC,Normal EWC Std,EWO,EWO Std,Normal EWO,Normal EWO Std,Normal EW3Z,Normal EW3Z Std,Normal EW3ZPN,Normal EW3ZPN Std
ISS_000RI_SATSRCHAP001_PRIME,0,18000,2004-06-20T20:03:28,0.0,359.98,38.196,61.67,41.729,67.141,67.351,67.308,73.763,73.946,73.911,65.45,100.0,2.2495,0.70215,0.6234,0.1945,0.51594,0.164,0.14299,0.04545,0.96486,0.49342,0.26739,0.1367,0.7687,0.36517,0.21302,0.10117,0.6586,0.21054,0.59525,0.19028
ISS_006RI_LPHRLFMOV001_PRIME,0,17335,2005-04-13T02:37:52,0.0,359.98,5.923,16.442,7.041,31.15,39.419,35.554,83.151,83.713,83.452,67.982,96.30555555555556,4.01741,0.76484,0.45796,0.08745,1.23151,0.62237,0.13969,0.06868,2.00983,0.83808,0.22963,0.09631,0.77608,0.15559,0.08864,0.01869,0.51741,0.10765,0.50726,0.10572
ISS_007RI_HPMRDFMOV001_PRIME,0,13029,2005-05-03T22:29:04,0.0,359.98,4.329,11.616,5.4,117.135,132.132,123.492,93.807,98.353,95.762,68.187,72.38333333333333,9.45168,1.45101,0.95853,0.31017,2.45187,0.62873,0.2334,0.01627,4.0993,1.31567,0.42963,0.22294,2.90051,0.69955,0.2955,0.11757,1.08282,0.34892,0.46008,0.09828
ISS_007RI_LPHRLFMOV001_PRIME,0,11401,2005-05-01T04:07:28,0.0,359.98,6.252,7.685,7.003,29.889,35.79,33.598,68.62,69.583,69.034,68.16,63.33888888888889,1.19041,0.34768,0.42591,0.12465,0.25599,0.03526,0.09162,0.01285,0.63138,0.32591,0.22589,0.11691,0.30303,0.17893,0.1084,0.06433,0.45292,0.13681,0.44514,0.13464
ISS_00ARI_SPKMOVPER001_PRIME,0,17230,2004-11-15T08:52:32,13.6,358.18,27.04,45.259,29.494,84.213,84.906,84.573,77.211,77.44,77.322,66.603,95.72222222222221,2.68747,0.60501,0.58979,0.13263,0.53491,0.09063,0.1174,0.01996,1.15282,0.50603,0.25295,0.11094,0.99974,0.51216,0.21944,0.11254,0.62923,0.14362,0.51273,0.11713
ISS_029RF_FMOVIE001_VIMS,0,16858,2006-09-28T20:32:15,0.94,338.08,9.415,10.431,9.882,158.301,161.915,160.131,120.74,122.667,121.746,74.335,93.65555555555557,10.84463,2.3338,5.69694,1.18831,3.1459,0.34025,1.65385,0.16878,4.54925,1.64384,2.39026,0.85848,3.14949,0.96171,1.65282,0.48786,5.99497,1.28594,0.57533,0.11493
ISS_029RF_FMOVIE002_VIMS,0,10685,2006-09-30T00:32:15,0.0,359.98,11.066,11.545,11.278,158.804,161.012,159.932,118.488,119.568,118.991,74.349,59.36111111111111,11.58294,2.16441,5.60715,1.01287,3.54237,0.37602,1.71635,0.17722,5.5485,1.62396,2.6848,0.77255,2.49207,0.52977,1.206,0.24722,5.95261,1.11026,0.57667,0.0948
ISS_030RF_FMOVIE001_VIMS,0,9616,2006-10-16T01:34:07,0.0,359.98,10.425,10.866,10.629,150.449,152.596,151.523,130.151,131.516,130.85,74.566,53.422222222222224,5.69508,1.03654,3.725,0.67782,1.58589,0.1787,1.03681,0.11273,2.40514,0.8602,1.57266,0.56031,1.70405,0.52439,1.11553,0.34712,3.90902,0.73654,0.58193,0.11063
ISS_031RF_FMOVIE001_VIMS,0,16737,2006-10-31T18:37:35,0.0,359.98,9.339,9.822,9.591,156.15,160.32,158.297,124.792,128.279,126.522,74.784,92.98333333333333,8.70545,1.27511,5.17898,0.76044,2.55337,0.29474,1.5157,0.14235,3.60781,1.14211,2.14639,0.68016,2.54427,0.48695,1.5169,0.30791,5.44052,0.83825,0.57631,0.09741
ISS_032RF_FMOVIE001_VIMS,0,16730,2006-11-12T17:53:35,0.0,359.98,9.308,9.793,9.562,155.705,159.978,157.907,124.903,128.405,126.636,74.949,92.94444444444444,8.49335,1.69946,5.05429,0.94471,2.49107,0.26444,1.48321,0.13096,3.37271,1.16581,2.00867,0.68504,2.62956,0.78499,1.56242,0.4409,5.30085,1.01885,0.56945,0.09819
